id_hecho,titulo,descripcion,categoria,latitud,longitud,fecha_del_hecho
20,Amenaza en el centro de la ciudad en plena noche 93185673,"Un hecho de amenaza se registró en una zona turística en la calle Calle Merlo, al amanecer, según testigos.",Amenaza,-34.640733,-58.433621,1/3/2022
21,Accidente de tránsito en una estación de servicio a media tarde 61200962,"Un hecho de accidente de tránsito fue captado por cámaras en las afueras en la calle Av. 3, en plena hora pico, según testigos.",Accidente de tránsito,-34.691039,-58.511528,12/6/2023
22,Violencia de género en un parque público en plena temporada de vacaciones 2184971,"Un hecho de violencia de género tuvo lugar en un supermercado en la calle Avenida Corrientes, a media tarde, según testigos.",Violencia de género,-34.598359,-58.51097,1/9/2024
23,Hurto en un barrio residencial a media tarde 48595543,"Un hecho de hurto fue investigado en una estación de servicio en la calle Av. Misiones, en plena temporada de vacaciones, según testigos.",Hurto,-34.572212,-58.451663,30/9/2024
24,Venta de drogas en una estación de servicio en plena temporada de vacaciones 69268896,"Un hecho de venta de drogas ocurrió en un parque público en la calle Boulevard Paraná, al amanecer, según testigos.",Venta de drogas,-34.605084,-58.442342,16/6/2024
25,Homicidio en una zona turística en plena hora pico 10704976,"Un hecho de homicidio fue reportado en las afueras en la calle Diagonal Bahía Blanca, en plena hora pico, según testigos.",Homicidio,-34.633865,-58.40024,22/3/2022
26,Corrupción en un transporte público al amanecer 90234023,"Un hecho de corrupción fue reportado en el centro de la ciudad en la calle Av. San Luis, a media tarde, según testigos.",Corrupción,-34.598787,-58.438078,6/4/2023
27,Homicidio en las afueras a media tarde 88826635,"Un hecho de homicidio fue reportado en el centro de la ciudad en la calle Avenida 5, en un día lluvioso, según testigos.",Homicidio,-34.583377,-58.526629,19/6/2020
28,Vandalismo en una calle transitada al amanecer 12707541,"Un hecho de vandalismo tuvo lugar en el centro de la ciudad en la calle Diagonal Entre Ríos, a media tarde, según testigos.",Vandalismo,-34.661836,-58.426062,30/11/2022
29,Allanamiento en las afueras por la mañana 21549365,"Un hecho de allanamiento motivó una llamada al 911 en un supermercado en la calle Calle 6, en un día lluvioso, según testigos.",Allanamiento,-34.661884,-58.404572,21/8/2023
30,Homicidio en una estación de servicio en plena temporada de vacaciones 66615127,"Un hecho de homicidio generó intervención policial en un supermercado en la calle Calle G. Brown, en plena hora pico, según testigos.",Homicidio,-34.561908,-58.480186,17/4/2024
31,Estafa en una zona turística a media tarde 36296103,"Un hecho de estafa fue investigado en un supermercado en la calle Avenida Viedma, en plena temporada de vacaciones, según testigos.",Estafa,-34.638716,-58.370861,27/2/2023
32,Violencia de género en el centro de la ciudad en plena hora pico 60032096,"Un hecho de violencia de género tuvo lugar en una estación de servicio en la calle Calle 4, por la mañana, según testigos.",Violencia de género,-34.69159,-58.393409,8/6/2024
33,Estafa en un barrio residencial durante el fin de semana 87270602,"Un hecho de estafa ocurrió en una zona turística en la calle Diagonal Mendoza, al amanecer, según testigos.",Estafa,-34.675594,-58.352922,14/9/2022
34,Allanamiento en una estación de servicio en plena temporada de vacaciones 58824824,"Un hecho de allanamiento se registró en una estación de servicio en la calle Avenida San Ferando del Valle de Catamarca, al amanecer, según testigos.",Allanamiento,-34.584097,-58.446979,2/7/2023
35,Venta de drogas en una zona turística a media tarde 46305297,"Un hecho de venta de drogas ocurrió en una estación de servicio en la calle Diagonal Pte. Perón, en un día lluvioso, según testigos.",Venta de drogas,-34.689757,-58.427982,22/9/2022
36,Venta de drogas en un parque público por la mañana 98113463,"Un hecho de venta de drogas motivó una llamada al 911 en una zona turística en la calle Avenida Viedma, en plena hora pico, según testigos.",Venta de drogas,-34.645396,-58.433081,20/10/2020
37,Homicidio en las afueras a media tarde 1718709,"Un hecho de homicidio fue denunciado en una zona turística en la calle Avenida J.B. Alberdi, durante el fin de semana, según testigos.",Homicidio,-34.561075,-58.373913,30/7/2023
38,Venta de drogas en un parque público por la mañana 16476453,"Un hecho de venta de drogas fue captado por cámaras en una estación de servicio en la calle Calle Ushuaia, en plena noche, según testigos.",Venta de drogas,-34.56951,-58.405169,4/7/2020
39,Allanamiento en una estación de servicio a media tarde 76368957,"Un hecho de allanamiento fue denunciado en una estación de servicio en la calle Boulevard Malvinas Argentinas, durante el fin de semana, según testigos.",Allanamiento,-34.692535,-58.503159,21/7/2021
40,Amenaza en un supermercado al amanecer 75151435,"Un hecho de amenaza fue captado por cámaras en las afueras en la calle Camino Río Gallegos, durante el fin de semana, según testigos.",Amenaza,-34.632592,-58.436689,12/10/2023
41,Homicidio en un supermercado en plena hora pico 14479860,"Un hecho de homicidio se registró en un supermercado en la calle Calle San Juan, a media tarde, según testigos.",Homicidio,-34.628147,-58.387613,29/3/2021
42,Venta de drogas en un transporte público en un día lluvioso 68567790,"Un hecho de venta de drogas ocurrió en un barrio residencial en la calle Av. Mar del Plata, durante el fin de semana, según testigos.",Venta de drogas,-34.601058,-58.510719,10/5/2023
43,Homicidio en el centro de la ciudad a media tarde 85027762,"Un hecho de homicidio se registró en un parque público en la calle Diag. La Rioja, por la mañana, según testigos.",Homicidio,-34.637532,-58.465059,7/12/2020
44,Amenaza en un transporte público a media tarde 97958064,"Un hecho de amenaza fue denunciado en un supermercado en la calle Av. Jujuy, en plena hora pico, según testigos.",Amenaza,-34.68189,-58.515779,21/5/2024
45,Violencia de género en una calle transitada al amanecer 49932702,"Un hecho de violencia de género fue investigado en una zona turística en la calle Diagonal Santiago del Estero, a media tarde, según testigos.",Violencia de género,-34.590755,-58.507676,11/11/2023
46,Venta de drogas en una calle transitada a media tarde 67834992,"Un hecho de venta de drogas fue investigado en un supermercado en la calle Avenida 2, por la mañana, según testigos.",Venta de drogas,-34.566373,-58.430939,15/1/2022
47,Amenaza en una zona turística en plena noche 77547492,"Un hecho de amenaza fue captado por cámaras en un supermercado en la calle Boulevard J.M. de Rosas, en un día lluvioso, según testigos.",Amenaza,-34.569299,-58.372547,30/11/2021
48,Allanamiento en un barrio residencial en un día lluvioso 76135133,"Un hecho de allanamiento motivó una llamada al 911 en una estación de servicio en la calle Boulevard Buenos Aires, por la mañana, según testigos.",Allanamiento,-34.66511,-58.50583,11/12/2023
49,Delito informático en una estación de servicio en un día lluvioso 89979050,"Un hecho de delito informático fue investigado en un parque público en la calle Calle San Martin, durante el fin de semana, según testigos.",Delito informático,-34.610207,-58.488435,2/2/2022
50,Allanamiento en un parque público a media tarde 59562236,"Un hecho de allanamiento fue investigado en un supermercado en la calle Calle Jujuy, en plena noche, según testigos.",Allanamiento,-34.637546,-58.496839,25/6/2023
51,Vandalismo en una calle transitada durante el fin de semana 3566584,"Un hecho de vandalismo tuvo lugar en un barrio residencial en la calle Calle Santa Fe, a media tarde, según testigos.",Vandalismo,-34.583709,-58.473204,27/11/2022
52,Hurto en una estación de servicio en un día lluvioso 83275935,"Un hecho de hurto ocurrió en el centro de la ciudad en la calle Av. Ushuaia, en plena hora pico, según testigos.",Hurto,-34.673843,-58.430427,20/12/2024
53,Accidente de tránsito en el centro de la ciudad en un día lluvioso 54991209,"Un hecho de accidente de tránsito motivó una llamada al 911 en un supermercado en la calle Diagonal 9, durante el fin de semana, según testigos.",Accidente de tránsito,-34.666496,-58.515851,19/10/2022
54,Vandalismo en las afueras al amanecer 75559432,"Un hecho de vandalismo ocurrió en el centro de la ciudad en la calle Avenida 2, en un día lluvioso, según testigos.",Vandalismo,-34.60598,-58.352489,7/4/2022
55,Accidente de tránsito en el centro de la ciudad por la mañana 49701570,"Un hecho de accidente de tránsito fue investigado en una calle transitada en la calle Diagonal Misiones, en un día lluvioso, según testigos.",Accidente de tránsito,-34.596083,-58.46244,7/10/2020
56,Estafa en un parque público en plena temporada de vacaciones 16377903,"Un hecho de estafa se registró en una calle transitada en la calle Blv. 4, en plena noche, según testigos.",Estafa,-34.663019,-58.420132,9/11/2021
57,Estafa en un barrio residencial en plena temporada de vacaciones 32257488,"Un hecho de estafa fue captado por cámaras en una zona turística en la calle Av. San Martin, en plena hora pico, según testigos.",Estafa,-34.654588,-58.495369,12/11/2022
58,Venta de drogas en un supermercado en plena noche 65051881,"Un hecho de venta de drogas fue reportado en un supermercado en la calle Avenida G. Brown, en un día lluvioso, según testigos.",Venta de drogas,-34.555332,-58.502999,23/3/2025
59,Amenaza en las afueras por la mañana 92795453,"Un hecho de amenaza se registró en una calle transitada en la calle Diagonal 171 Bis, en plena noche, según testigos.",Amenaza,-34.688937,-58.496864,6/11/2022
60,Estafa en una calle transitada en plena temporada de vacaciones 94454229,"Un hecho de estafa fue captado por cámaras en las afueras en la calle Avenida J.J. Castelli, en plena noche, según testigos.",Estafa,-34.611069,-58.369704,12/12/2021
61,Vandalismo en una calle transitada en plena hora pico 79241811,"Un hecho de vandalismo se registró en un barrio residencial en la calle Calle La Pampa, en plena hora pico, según testigos.",Vandalismo,-34.662224,-58.460841,1/10/2023
62,Accidente de tránsito en las afueras en plena hora pico 93546894,"Un hecho de accidente de tránsito motivó una llamada al 911 en el centro de la ciudad en la calle Diagonal 9, por la mañana, según testigos.",Accidente de tránsito,-34.67679,-58.465563,25/2/2024
63,Homicidio en un barrio residencial por la mañana 86762086,"Un hecho de homicidio fue investigado en una zona turística en la calle Av. J.M. de Rosas, en un día lluvioso, según testigos.",Homicidio,-34.559616,-58.498441,23/4/2022
64,Hurto en el centro de la ciudad por la mañana 26807996,"Un hecho de hurto se detectó en un supermercado en la calle Avenida Omar Nuñez, en un día lluvioso, según testigos.",Hurto,-34.65197,-58.406022,12/5/2024
65,Amenaza en las afueras a media tarde 48678277,"Un hecho de amenaza generó intervención policial en un transporte público en la calle Avenida 6, en plena hora pico, según testigos.",Amenaza,-34.62533,-58.417995,7/8/2020
66,Estafa en una zona turística en plena hora pico 79107424,"Un hecho de estafa generó intervención policial en el centro de la ciudad en la calle Avenida La Pampa, al amanecer, según testigos.",Estafa,-34.684798,-58.431625,28/8/2021
67,Accidente de tránsito en un parque público en plena noche 2187530,"Un hecho de accidente de tránsito generó intervención policial en una calle transitada en la calle Camino 6, en plena temporada de vacaciones, según testigos.",Accidente de tránsito,-34.657822,-58.490171,20/5/2024
68,Violencia de género en el centro de la ciudad al amanecer 65986772,"Un hecho de violencia de género motivó una llamada al 911 en una estación de servicio en la calle Diagonal J.M. de Rosas, en plena hora pico, según testigos.",Violencia de género,-34.589688,-58.419567,9/3/2024
69,Robo en una zona turística en plena hora pico 39514324,"Un hecho de robo fue captado por cámaras en una zona turística en la calle Diag. Tucumán, por la mañana, según testigos.",Robo,-34.600307,-58.526954,10/2/2021
70,Amenaza en un supermercado al amanecer 84565204,"Un hecho de amenaza se registró en las afueras en la calle Avenida Tierra del Fuego, en plena hora pico, según testigos.",Amenaza,-34.623227,-58.427521,26/2/2021
71,Violencia de género en un supermercado por la mañana 19639659,"Un hecho de violencia de género fue investigado en una zona turística en la calle Av. Río Negro, durante el fin de semana, según testigos.",Violencia de género,-34.613236,-58.458805,27/11/2022
72,Corrupción en un transporte público por la mañana 85252648,"Un hecho de corrupción fue reportado en un barrio residencial en la calle Diag. Omar Nuñez, en plena temporada de vacaciones, según testigos.",Corrupción,-34.558386,-58.353304,25/10/2024
73,Estafa en un supermercado en un día lluvioso 47777762,"Un hecho de estafa fue captado por cámaras en una calle transitada en la calle Diagonal Chubut, al amanecer, según testigos.",Estafa,-34.690708,-58.522124,1/2/2025
74,Accidente de tránsito en una zona turística al amanecer 78051719,"Un hecho de accidente de tránsito fue reportado en el centro de la ciudad en la calle Blv. 2, por la mañana, según testigos.",Accidente de tránsito,-34.591308,-58.359813,3/8/2021
75,Vandalismo en las afueras por la mañana 25361,"Un hecho de vandalismo se detectó en una zona turística en la calle Diagonal Omar Nuñez, en plena hora pico, según testigos.",Vandalismo,-34.680038,-58.352056,12/3/2023
76,Hurto en una calle transitada al amanecer 46029791,"Un hecho de hurto fue captado por cámaras en una estación de servicio en la calle Av. Bahía Blanca, en plena hora pico, según testigos.",Hurto,-34.597724,-58.435999,9/2/2024
77,Vandalismo en un parque público por la mañana 14810578,"Un hecho de vandalismo se detectó en un supermercado en la calle Avenida San Juan, en plena temporada de vacaciones, según testigos.",Vandalismo,-34.655785,-58.403967,19/11/2024
78,Venta de drogas en un transporte público al amanecer 49024726,"Un hecho de venta de drogas ocurrió en un barrio residencial en la calle Camino Santiago del Estero, en plena noche, según testigos.",Venta de drogas,-34.665086,-58.446406,25/3/2024
79,Hurto en un supermercado en un día lluvioso 68662407,"Un hecho de hurto se detectó en un barrio residencial en la calle Av. Mendoza, en plena noche, según testigos.",Hurto,-34.569519,-58.402274,24/7/2023
80,Delito informático en un supermercado por la mañana 471741,"Un hecho de delito informático fue captado por cámaras en un supermercado en la calle Avenida Saavedra, en plena hora pico, según testigos.",Delito informático,-34.565221,-58.415615,22/9/2024
81,Venta de drogas en una zona turística en un día lluvioso 46887995,"Un hecho de venta de drogas fue reportado en el centro de la ciudad en la calle Blv. Saavedra, a media tarde, según testigos.",Venta de drogas,-34.644282,-58.521955,24/2/2025
82,Venta de drogas en un supermercado en plena temporada de vacaciones 2859913,"Un hecho de venta de drogas fue investigado en las afueras en la calle Avenida Rosario, por la mañana, según testigos.",Venta de drogas,-34.62145,-58.409246,16/7/2023
83,Accidente de tránsito en una calle transitada en plena temporada de vacaciones 40654980,"Un hecho de accidente de tránsito fue captado por cámaras en las afueras en la calle Diagonal Buenos Aires, durante el fin de semana, según testigos.",Accidente de tránsito,-34.607973,-58.435531,29/12/2022
84,Robo en una calle transitada en plena noche 59501613,"Un hecho de robo motivó una llamada al 911 en una calle transitada en la calle Calle Córdoba, en plena noche, según testigos.",Robo,-34.673268,-58.411823,31/7/2021
85,Accidente de tránsito en un transporte público al amanecer 14329279,"Un hecho de accidente de tránsito generó intervención policial en una calle transitada en la calle Avenida Mendoza, al amanecer, según testigos.",Accidente de tránsito,-34.562294,-58.488552,12/11/2023
86,Homicidio en un transporte público en plena temporada de vacaciones 83203547,"Un hecho de homicidio fue captado por cámaras en un transporte público en la calle Calle 5, en plena noche, según testigos.",Homicidio,-34.560361,-58.351528,1/11/2023
87,Corrupción en una zona turística a media tarde 7244331,"Un hecho de corrupción fue investigado en un transporte público en la calle Avenida Corrientes, en plena noche, según testigos.",Corrupción,-34.606126,-58.4661,6/1/2023
88,Vandalismo en el centro de la ciudad en un día lluvioso 15700957,"Un hecho de vandalismo generó intervención policial en un parque público en la calle Diagonal Neuquén, en plena hora pico, según testigos.",Vandalismo,-34.640743,-58.502425,14/10/2023
89,Delito informático en el centro de la ciudad en plena hora pico 25568455,"Un hecho de delito informático motivó una llamada al 911 en un barrio residencial en la calle Blv. 6, en un día lluvioso, según testigos.",Delito informático,-34.599297,-58.489147,14/12/2023
90,Hurto en un barrio residencial al amanecer 41858501,"Un hecho de hurto tuvo lugar en una zona turística en la calle Diagonal Río Gallegos, a media tarde, según testigos.",Hurto,-34.661083,-58.38097,19/5/2022
91,Allanamiento en una estación de servicio en plena hora pico 8261670,"Un hecho de allanamiento generó intervención policial en un supermercado en la calle Av. 7, en un día lluvioso, según testigos.",Allanamiento,-34.68639,-58.421742,31/7/2022
92,Delito informático en las afueras en plena hora pico 84302851,"Un hecho de delito informático se detectó en un barrio residencial en la calle Avenida Chaco, durante el fin de semana, según testigos.",Delito informático,-34.676433,-58.445011,7/12/2024
93,Homicidio en las afueras en plena temporada de vacaciones 2846529,"Un hecho de homicidio se detectó en una estación de servicio en la calle Av. La Pampa, al amanecer, según testigos.",Homicidio,-34.5712,-58.386127,1/4/2022
94,Robo en un supermercado durante el fin de semana 27865911,"Un hecho de robo ocurrió en una calle transitada en la calle Diagonal Formosa, en plena temporada de vacaciones, según testigos.",Robo,-34.583297,-58.489434,31/10/2020
95,Estafa en una calle transitada durante el fin de semana 20554685,"Un hecho de estafa ocurrió en un supermercado en la calle Diag. Chilecito, al amanecer, según testigos.",Estafa,-34.644403,-58.47725,13/2/2022
96,Corrupción en un barrio residencial a media tarde 73725339,"Un hecho de corrupción fue investigado en las afueras en la calle Diag. Mar del Plata, en plena hora pico, según testigos.",Corrupción,-34.628653,-58.454122,28/2/2021
97,Delito informático en un parque público durante el fin de semana 84710112,"Un hecho de delito informático fue denunciado en el centro de la ciudad en la calle Calle San Juan, al amanecer, según testigos.",Delito informático,-34.616373,-58.398225,16/3/2021
98,Estafa en un transporte público en plena noche 29374892,"Un hecho de estafa generó intervención policial en un parque público en la calle Calle 6, a media tarde, según testigos.",Estafa,-34.56675,-58.397199,13/8/2021
99,Violencia de género en un transporte público en plena temporada de vacaciones 14319820,"Un hecho de violencia de género se detectó en una zona turística en la calle Diagonal Salta, por la mañana, según testigos.",Violencia de género,-34.589748,-58.418253,18/2/2023
100,Homicidio en una calle transitada por la mañana 85449486,"Un hecho de homicidio motivó una llamada al 911 en una zona turística en la calle Boulevard Entre Ríos, durante el fin de semana, según testigos.",Homicidio,-34.633099,-58.458411,23/2/2021
101,Violencia de género en un supermercado en plena hora pico 10481322,"Un hecho de violencia de género se detectó en un transporte público en la calle Av. Alem, en plena hora pico, según testigos.",Violencia de género,-34.59055,-58.439393,28/11/2021
102,Allanamiento en un transporte público por la mañana 38102707,"Un hecho de allanamiento fue denunciado en un transporte público en la calle Diagonal Mitre, en un día lluvioso, según testigos.",Allanamiento,-34.647507,-58.413075,29/1/2022
103,Hurto en una zona turística al amanecer 84493838,"Un hecho de hurto fue reportado en un barrio residencial en la calle Calle Neuquén, durante el fin de semana, según testigos.",Hurto,-34.657474,-58.521016,26/11/2022
104,Robo en una zona turística al amanecer 26238878,"Un hecho de robo ocurrió en un transporte público en la calle Camino Neuquén, durante el fin de semana, según testigos.",Robo,-34.61128,-58.388796,6/12/2021
105,Hurto en un barrio residencial por la mañana 17703705,"Un hecho de hurto se registró en una estación de servicio en la calle Av. Posadas, al amanecer, según testigos.",Hurto,-34.596408,-58.47778,7/11/2023
106,Homicidio en una estación de servicio en un día lluvioso 23420210,"Un hecho de homicidio ocurrió en las afueras en la calle Calle Corrientes, por la mañana, según testigos.",Homicidio,-34.639496,-58.469654,24/8/2022
107,Homicidio en el centro de la ciudad en plena temporada de vacaciones 46525656,"Un hecho de homicidio fue investigado en una calle transitada en la calle Diagonal 2, al amanecer, según testigos.",Homicidio,-34.589693,-58.372822,20/8/2022
108,Estafa en un supermercado en plena noche 1653569,"Un hecho de estafa fue investigado en un parque público en la calle Diagonal 2, en un día lluvioso, según testigos.",Estafa,-34.674847,-58.355788,11/2/2025
109,Vandalismo en el centro de la ciudad en plena hora pico 36876762,"Un hecho de vandalismo fue denunciado en el centro de la ciudad en la calle Calle Santa Fe, a media tarde, según testigos.",Vandalismo,-34.594754,-58.518118,14/5/2020
110,Corrupción en las afueras en un día lluvioso 8799474,"Un hecho de corrupción se detectó en un transporte público en la calle Avenida Omar Nuñez, en plena temporada de vacaciones, según testigos.",Corrupción,-34.586654,-58.52304,9/9/2022
111,Estafa en un supermercado durante el fin de semana 90427628,"Un hecho de estafa motivó una llamada al 911 en una zona turística en la calle Calle 6, en un día lluvioso, según testigos.",Estafa,-34.574947,-58.521966,27/5/2024
112,Homicidio en un transporte público a media tarde 4824580,"Un hecho de homicidio ocurrió en las afueras en la calle Avenida 8, a media tarde, según testigos.",Homicidio,-34.577527,-58.514184,25/1/2021
113,Delito informático en una calle transitada en un día lluvioso 99032835,"Un hecho de delito informático fue captado por cámaras en un barrio residencial en la calle Diagonal Neuquén, por la mañana, según testigos.",Delito informático,-34.578699,-58.50031,18/9/2024
114,Robo en una calle transitada en plena hora pico 27782927,"Un hecho de robo fue captado por cámaras en una estación de servicio en la calle Camino Neuquén, por la mañana, según testigos.",Robo,-34.624475,-58.484537,21/4/2024
115,Homicidio en el centro de la ciudad por la mañana 44838120,"Un hecho de homicidio se registró en un barrio residencial en la calle Avenida Belgrano, en plena hora pico, según testigos.",Homicidio,-34.568563,-58.470583,14/12/2023
116,Delito informático en una calle transitada durante el fin de semana 21043018,"Un hecho de delito informático se registró en las afueras en la calle Calle Ciudad Autónoma de Buenos Aires, en plena temporada de vacaciones, según testigos.",Delito informático,-34.593492,-58.511828,1/1/2025
117,Vandalismo en un barrio residencial por la mañana 55808213,"Un hecho de vandalismo motivó una llamada al 911 en las afueras en la calle Diagonal Ushuaia, en plena noche, según testigos.",Vandalismo,-34.696768,-58.416903,7/10/2022
118,Violencia de género en el centro de la ciudad en plena hora pico 92793984,"Un hecho de violencia de género tuvo lugar en el centro de la ciudad en la calle Diagonal J.M. de Rosas, al amanecer, según testigos.",Violencia de género,-34.648026,-58.354491,23/3/2021
119,Accidente de tránsito en las afueras en plena hora pico 74911290,"Un hecho de accidente de tránsito tuvo lugar en una estación de servicio en la calle Av. Mitre, en plena temporada de vacaciones, según testigos.",Accidente de tránsito,-34.67938,-58.502153,31/5/2020
120,Violencia de género en las afueras por la mañana 21891738,"Un hecho de violencia de género fue investigado en una estación de servicio en la calle Blv. 9, al amanecer, según testigos.",Violencia de género,-34.554382,-58.490241,25/6/2022
121,Vandalismo en las afueras en plena temporada de vacaciones 17984536,"Un hecho de vandalismo fue denunciado en las afueras en la calle Diagonal Alvear, por la mañana, según testigos.",Vandalismo,-34.666889,-58.450027,20/8/2021
122,Venta de drogas en un supermercado en un día lluvioso 83299012,"Un hecho de venta de drogas se registró en una calle transitada en la calle Av. 120 A, en un día lluvioso, según testigos.",Venta de drogas,-34.618383,-58.498339,25/3/2021
123,Robo en las afueras en plena noche 26671354,"Un hecho de robo fue captado por cámaras en el centro de la ciudad en la calle Diagonal Alvear, durante el fin de semana, según testigos.",Robo,-34.621997,-58.489528,23/5/2020
124,Estafa en una calle transitada en plena noche 44547731,"Un hecho de estafa fue reportado en las afueras en la calle Boulevard Buenos Aires, por la mañana, según testigos.",Estafa,-34.627662,-58.389955,12/4/2021
125,Accidente de tránsito en una estación de servicio en plena temporada de vacaciones 87288132,"Un hecho de accidente de tránsito fue captado por cámaras en el centro de la ciudad en la calle Diagonal Omar Nuñez, en plena noche, según testigos.",Accidente de tránsito,-34.578769,-58.397637,29/9/2022
126,Delito informático en un transporte público en un día lluvioso 59272338,"Un hecho de delito informático motivó una llamada al 911 en el centro de la ciudad en la calle Avenida Córdoba, en un día lluvioso, según testigos.",Delito informático,-34.565211,-58.457477,5/1/2022
127,Vandalismo en un transporte público en plena hora pico 83386455,"Un hecho de vandalismo fue investigado en una zona turística en la calle Avenida Corrientes, en plena temporada de vacaciones, según testigos.",Vandalismo,-34.596615,-58.519358,10/4/2024
128,Homicidio en una zona turística en plena noche 98184796,"Un hecho de homicidio se detectó en una estación de servicio en la calle Av. Santiago del Estero, en plena hora pico, según testigos.",Homicidio,-34.639796,-58.525826,10/2/2024
129,Vandalismo en un transporte público en plena hora pico 40194954,"Un hecho de vandalismo motivó una llamada al 911 en un barrio residencial en la calle Diagonal Santa Fe, en un día lluvioso, según testigos.",Vandalismo,-34.595096,-58.426063,28/9/2023
130,Homicidio en una zona turística a media tarde 11032950,"Un hecho de homicidio fue denunciado en un parque público en la calle Diagonal Chaco, en plena noche, según testigos.",Homicidio,-34.612898,-58.508907,30/10/2023
131,Venta de drogas en el centro de la ciudad en plena noche 25633674,"Un hecho de venta de drogas motivó una llamada al 911 en un parque público en la calle Avenida Constitución, durante el fin de semana, según testigos.",Venta de drogas,-34.636172,-58.352772,28/12/2020
132,Robo en un parque público en plena temporada de vacaciones 80194349,"Un hecho de robo fue investigado en un barrio residencial en la calle Av. 6, en plena temporada de vacaciones, según testigos.",Robo,-34.577523,-58.434568,30/9/2024
133,Accidente de tránsito en el centro de la ciudad durante el fin de semana 89653786,"Un hecho de accidente de tránsito motivó una llamada al 911 en una estación de servicio en la calle Diagonal 8, por la mañana, según testigos.",Accidente de tránsito,-34.572618,-58.517731,8/4/2022
